DEBUG- main- 0- com.slf4j.service.SelectTest- start of main method- 2024-10-02 10:51:47,349- com.slf4j.service.SelectTest.main(SelectTest.java:19)- 
DEBUG- main- 7- com.slf4j.service.SelectTest- start of try block- 2024-10-02 10:51:47,356- com.slf4j.service.SelectTest.main(SelectTest.java:24)- 
INFO- main- 925- com.slf4j.service.SelectTest- JDBC driver class is loaded- 2024-10-02 10:51:48,274- com.slf4j.service.SelectTest.main(SelectTest.java:27)- 
INFO- main- 2655- com.slf4j.service.SelectTest- Connection is established- 2024-10-02 10:51:50,004- com.slf4j.service.SelectTest.main(SelectTest.java:31)- 
INFO- main- 3123- com.slf4j.service.SelectTest- PreparedStatement object is created- 2024-10-02 10:51:50,472- com.slf4j.service.SelectTest.main(SelectTest.java:35)- 
INFO- main- 3355- com.slf4j.service.SelectTest- JDBC Resultset object is created- 2024-10-02 10:51:50,704- com.slf4j.service.SelectTest.main(SelectTest.java:39)- 
INFO- main- 3363- com.slf4j.service.SelectTest- JDBC Resultset object processed- 2024-10-02 10:51:50,712- com.slf4j.service.SelectTest.main(SelectTest.java:47)- 
DEBUG- main- 3363- com.slf4j.service.SelectTest- end of try block- 2024-10-02 10:51:50,712- com.slf4j.service.SelectTest.main(SelectTest.java:52)- 
DEBUG- main- 3365- com.slf4j.service.SelectTest- start of finally block- 2024-10-02 10:51:50,714- com.slf4j.service.SelectTest.main(SelectTest.java:68)- 
INFO- main- 3366- com.slf4j.service.SelectTest- close of Resultset object- 2024-10-02 10:51:50,715- com.slf4j.service.SelectTest.main(SelectTest.java:72)- 
INFO- main- 3366- com.slf4j.service.SelectTest- PreparedStatement object is closed- 2024-10-02 10:51:50,715- com.slf4j.service.SelectTest.main(SelectTest.java:80)- 
INFO- main- 3371- com.slf4j.service.SelectTest- Connection object is closed- 2024-10-02 10:51:50,720- com.slf4j.service.SelectTest.main(SelectTest.java:90)- 
DEBUG- main- 3371- com.slf4j.service.SelectTest- end of the finally block- 2024-10-02 10:51:50,720- com.slf4j.service.SelectTest.main(SelectTest.java:96)- 
DEBUG- main- 3372- com.slf4j.service.SelectTest- end of main method- 2024-10-02 10:51:50,721- com.slf4j.service.SelectTest.main(SelectTest.java:98)- 
DEBUG- main- 0- com.slf4j.service.SelectTest- start of main method- 2024-10-02 10:52:38,755- com.slf4j.service.SelectTest.main(SelectTest.java:19)- 
DEBUG- main- 8- com.slf4j.service.SelectTest- start of try block- 2024-10-02 10:52:38,763- com.slf4j.service.SelectTest.main(SelectTest.java:24)- 
